----data/ds_1000_short----
ijson
         20787 function calls (19458 primitive calls) in 0.010 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 yajl2_cffi.py:143(start_array)
        2    0.000    0.000    0.000    0.000 model.py:160(__init__)
        2    0.000    0.000    0.000    0.000 model.py:174(build_backend_type)
        1    0.000    0.000    0.000    0.000 model.py:501(check_not_partial)
        2    0.000    0.000    0.000    0.000 c_parser.py:251(_type_modify_decl)
        3    0.000    0.000    0.000    0.000 {built-in method _cffi_backend.new_struct_type}
        2    0.000    0.000    0.000    0.000 {built-in method _cffi_backend.sizeof}
        1    0.000    0.000    0.000    0.000 {built-in method _cffi_backend.newp_handle}
        1    0.000    0.000    0.000    0.000 c_parser.py:522(p_translation_unit_1)
        2    0.000    0.000    0.000    0.000 c_parser.py:797(p_declaration_specifiers_5)
        1    0.000    0.000    0.000    0.000 yacc.py:234(__init__)
        1    0.000    0.000    0.000    0.000 c_ast.py:569(__init__)
        1    0.000    0.000    0.000    0.000 c_ast.py:637(__init__)
        1    0.000    0.000    0.000    0.000 c_ast.py:815(__init__)
        1    0.000    0.000    0.000    0.000 c_ast.py:994(__init__)
        5    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        4    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.000    0.000 cparser.py:42(_get_parser)
        1    0.000    0.000    0.000    0.000 yajl2_cffi.py:125(start_map)
        1    0.000    0.000    0.000    0.000 yajl2_cffi.py:137(end_map)
        3    0.000    0.000    0.000    0.000 yajl2_cffi.py:149(end_array)
        1    0.000    0.000    0.000    0.000 c_parser.py:172(_add_identifier)
        1    0.000    0.000    0.000    0.000 c_parser.py:210(_get_yacc_lookahead_token)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}



----data/ds_1000_long----
ijson
         20787 function calls (19458 primitive calls) in 0.009 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1003    0.001    0.000    0.002    0.000 yajl2_cffi.py:113(number)
        1    0.001    0.001    0.004    0.004 yajl2_cffi.py:177(yajl_parse)
